frame,track_id,x1,y1,x2,y2,image
0,1,2609.2534,1153.1672,3985.8289,2360.4175,cam_4_1690272026_03-00-26.jpg
0,2,3571.2725,483.29675,4020.9556,798.0265,cam_4_1690272026_03-00-26.jpg
0,3,3191.6362,702.21594,3761.5662,1217.685,cam_4_1690272026_03-00-26.jpg
0,4,2291.9404,529.3097,2818.4375,764.4401,cam_4_1690272026_03-00-26.jpg
0,5,2532.8367,492.2358,2953.1536,700.0342,cam_4_1690272026_03-00-26.jpg
0,6,1680.8057,431.3761,2219.5903,733.61426,cam_4_1690272026_03-00-26.jpg
0,7,1861.6912,338.8872,2318.025,520.9581,cam_4_1690272026_03-00-26.jpg
0,8,2853.8987,361.08423,3207.0286,521.6344,cam_4_1690272026_03-00-26.jpg
0,9,2176.2598,460.2479,2531.5286,614.4601,cam_4_1690272026_03-00-26.jpg
0,10,2790.7363,387.40393,3131.9482,561.4018,cam_4_1690272026_03-00-26.jpg
0,11,2712.8809,421.00397,3079.1838,592.92975,cam_4_1690272026_03-00-26.jpg
1,2,3559.1843,462.08755,4026.4485,736.8653,cam_4_1690272101_03-01-41.jpg
1,3,3209.9646,885.6076,3766.7776,1776.1882,cam_4_1690272101_03-01-41.jpg
1,4,2311.238,525.28674,2817.367,761.03625,cam_4_1690272101_03-01-41.jpg
1,5,2535.9084,491.28854,2957.553,698.4641,cam_4_1690272101_03-01-41.jpg
1,6,1855.2998,517.3226,2241.8696,749.80756,cam_4_1690272101_03-01-41.jpg
1,7,1855.2987,339.93948,2313.0024,640.10547,cam_4_1690272101_03-01-41.jpg
1,8,2854.8914,367.8913,3210.8506,526.6352,cam_4_1690272101_03-01-41.jpg
1,9,2162.4075,342.29135,2495.844,582.52893,cam_4_1690272101_03-01-41.jpg
1,10,2782.0713,398.10614,3120.9622,566.93475,cam_4_1690272101_03-01-41.jpg
1,11,2711.4126,425.8386,3076.1526,593.82336,cam_4_1690272101_03-01-41.jpg
2,2,3557.5989,436.9285,4016.5913,685.668,cam_4_1690272191_03-03-11.jpg
2,3,3222.838,884.68054,3941.8555,1719.5309,cam_4_1690272191_03-03-11.jpg
2,4,2420.1658,533.8316,2828.1877,753.16315,cam_4_1690272191_03-03-11.jpg
2,5,2495.1038,484.35718,2955.0796,710.58545,cam_4_1690272191_03-03-11.jpg
2,8,2879.1345,370.62982,3210.0884,525.4613,cam_4_1690272191_03-03-11.jpg
2,10,2798.0557,404.02594,3120.506,569.5491,cam_4_1690272191_03-03-11.jpg
2,12,3402.8972,585.26105,4062.166,914.69507,cam_4_1690272191_03-03-11.jpg
3,2,3551.111,426.2302,3909.407,630.25726,cam_4_1690272281_03-04-41.jpg
3,3,3214.9758,880.2398,3997.5479,1634.2247,cam_4_1690272281_03-04-41.jpg
3,4,2396.528,529.6384,2819.3757,758.675,cam_4_1690272281_03-04-41.jpg
3,5,2512.2566,484.75885,2945.727,703.5552,cam_4_1690272281_03-04-41.jpg
3,8,2865.0442,370.1999,3209.7493,527.3209,cam_4_1690272281_03-04-41.jpg
3,10,2806.1267,398.7167,3125.6418,565.99414,cam_4_1690272281_03-04-41.jpg
3,12,3384.6116,591.1728,4030.5215,982.72064,cam_4_1690272281_03-04-41.jpg
3,6,1881.5276,533.1102,2245.8975,755.67126,cam_4_1690272281_03-04-41.jpg
3,7,1849.0007,343.59122,2280.583,674.05695,cam_4_1690272281_03-04-41.jpg
3,9,2091.2861,321.77106,2490.4314,560.9515,cam_4_1690272281_03-04-41.jpg
3,11,2726.0042,424.41626,3077.3923,594.0934,cam_4_1690272281_03-04-41.jpg
4,2,3619.0908,418.3445,3838.422,579.9473,cam_4_1690272341_03-05-41.jpg
4,3,3218.2307,865.9118,4017.9104,1593.6687,cam_4_1690272341_03-05-41.jpg
4,4,2398.03,528.30365,2818.0461,760.7595,cam_4_1690272341_03-05-41.jpg
4,5,2513.5037,486.52194,2936.7473,699.73926,cam_4_1690272341_03-05-41.jpg
4,8,2882.833,367.25104,3209.3794,525.836,cam_4_1690272341_03-05-41.jpg
4,10,2817.1511,397.9444,3123.8442,561.6011,cam_4_1690272341_03-05-41.jpg
4,12,3328.03,589.8322,4006.024,1050.9061,cam_4_1690272341_03-05-41.jpg
4,6,1883.2891,532.6176,2249.4167,755.4768,cam_4_1690272341_03-05-41.jpg
4,7,1846.8958,344.2442,2268.8506,686.21344,cam_4_1690272341_03-05-41.jpg
4,9,2079.1816,319.252,2472.613,566.724,cam_4_1690272341_03-05-41.jpg
5,4,2392.1736,528.2158,2815.6243,761.7464,cam_4_1690272491_03-08-11.jpg
5,5,2526.4717,492.5243,2942.189,698.25287,cam_4_1690272491_03-08-11.jpg
5,8,2857.5447,360.81403,3205.4329,524.1292,cam_4_1690272491_03-08-11.jpg
5,10,2812.3623,394.07263,3122.145,555.75604,cam_4_1690272491_03-08-11.jpg
5,12,3296.2305,607.686,4038.3496,1141.1088,cam_4_1690272491_03-08-11.jpg
5,6,1878.6299,525.98395,2267.0864,754.36365,cam_4_1690272491_03-08-11.jpg
5,7,1848.7385,344.62253,2287.7861,686.27527,cam_4_1690272491_03-08-11.jpg
5,9,2071.2246,318.94135,2473.5056,565.35767,cam_4_1690272491_03-08-11.jpg
5,16,3385.1152,512.17224,4145.042,847.7315,cam_4_1690272491_03-08-11.jpg
5,11,2725.1199,424.7893,3073.8845,590.158,cam_4_1690272491_03-08-11.jpg
6,4,2345.883,525.77673,2814.1233,763.05096,cam_4_1690272551_03-09-11.jpg
6,5,2522.8872,493.72495,2958.963,706.47296,cam_4_1690272551_03-09-11.jpg
6,8,2848.6453,353.26352,3205.6387,523.7704,cam_4_1690272551_03-09-11.jpg
6,10,2806.7637,393.14267,3118.6404,558.3045,cam_4_1690272551_03-09-11.jpg
6,12,3299.1873,613.5448,4119.271,1182.5771,cam_4_1690272551_03-09-11.jpg
6,6,1877.9457,527.85065,2273.1445,757.80493,cam_4_1690272551_03-09-11.jpg
6,7,1852.7659,340.6315,2281.5623,682.24493,cam_4_1690272551_03-09-11.jpg
6,9,2050.0945,314.274,2423.223,566.1974,cam_4_1690272551_03-09-11.jpg
6,16,3393.7869,524.9892,4036.712,873.32385,cam_4_1690272551_03-09-11.jpg
6,18,2920.246,645.9718,3325.2844,1355.5203,cam_4_1690272551_03-09-11.jpg
6,19,3585.9165,433.2973,4020.7747,768.23627,cam_4_1690272551_03-09-11.jpg
6,11,2714.9438,418.85464,3075.0195,592.5663,cam_4_1690272551_03-09-11.jpg
7,4,2337.9734,524.8669,2814.0793,762.1478,cam_4_1690272626_03-10-26.jpg
7,5,2521.9822,489.5389,2948.6125,703.3143,cam_4_1690272626_03-10-26.jpg
7,8,2853.0364,354.75403,3202.9595,522.4005,cam_4_1690272626_03-10-26.jpg
7,10,2818.3293,390.42984,3119.0596,555.789,cam_4_1690272626_03-10-26.jpg
7,12,3278.049,613.69794,4167.411,1198.7047,cam_4_1690272626_03-10-26.jpg
7,6,1886.2906,527.2043,2271.627,756.4931,cam_4_1690272626_03-10-26.jpg
7,7,1838.9011,342.0751,2280.0808,682.01117,cam_4_1690272626_03-10-26.jpg
7,9,2034.1085,309.10977,2386.1328,545.60345,cam_4_1690272626_03-10-26.jpg
7,16,3391.4622,526.1029,4002.7349,856.61957,cam_4_1690272626_03-10-26.jpg
7,19,3579.696,433.17584,4002.9905,770.6504,cam_4_1690272626_03-10-26.jpg
