epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,683.834,1.75728,3.14298,1.31631,0.20027,0.30997,0.19898,0.11225,1.44515,2.37224,1.19882,0.000158233,0.000158233,0.000158233
2,826.394,1.36409,1.86051,1.15358,0.33176,0.40817,0.32975,0.20233,1.37865,2.04127,1.19246,0.000310625,0.000310625,0.000310625
3,996.019,1.25428,1.4203,1.1075,0.42093,0.41242,0.39733,0.24271,1.36768,1.94333,1.19013,0.000456734,0.000456734,0.000456734
4,1163.97,1.20112,1.20412,1.08248,0.46931,0.43529,0.43604,0.27442,1.29798,1.92552,1.15249,0.000447726,0.000447726,0.000447726
5,1305.04,1.14417,1.05189,1.06096,0.48541,0.45705,0.4657,0.29911,1.25746,1.79575,1.14824,0.000438301,0.000438301,0.000438301
6,1471.13,1.10751,0.95459,1.04676,0.53095,0.48748,0.50662,0.33409,1.23206,1.7182,1.13007,0.000428876,0.000428876,0.000428876
7,1633.39,1.08143,0.89092,1.0353,0.50056,0.48873,0.49671,0.3213,1.24145,1.66921,1.14285,0.000419451,0.000419451,0.000419451
8,1772.25,1.06379,0.84635,1.02772,0.50959,0.4784,0.4957,0.32206,1.26333,1.68197,1.1431,0.000410026,0.000410026,0.000410026
9,1933.5,1.04236,0.81034,1.01899,0.53736,0.49563,0.52058,0.3388,1.2503,1.6541,1.13669,0.000400602,0.000400602,0.000400602
10,2087.22,1.02685,0.77908,1.01309,0.53319,0.51319,0.51508,0.34059,1.22065,1.65093,1.12975,0.000391177,0.000391177,0.000391177
11,2243.87,1.0151,0.7535,1.00966,0.52064,0.51396,0.5176,0.34465,1.22854,1.67276,1.13459,0.000381752,0.000381752,0.000381752
12,2404.98,0.99995,0.73346,1.00382,0.54077,0.48962,0.50691,0.33531,1.20874,1.63598,1.12877,0.000372327,0.000372327,0.000372327
13,2559.31,0.99097,0.71601,0.99968,0.51927,0.48457,0.49599,0.32736,1.21435,1.68818,1.13656,0.000362902,0.000362902,0.000362902
14,2713.32,0.98351,0.70182,0.99789,0.57094,0.50821,0.53061,0.35338,1.20468,1.57648,1.12743,0.000353478,0.000353478,0.000353478
15,2867.48,0.97522,0.68603,0.99376,0.54108,0.51593,0.5292,0.35515,1.1782,1.61182,1.1163,0.000344053,0.000344053,0.000344053
16,3030.39,0.96706,0.67618,0.99009,0.55766,0.51686,0.52637,0.35382,1.18558,1.58487,1.10926,0.000334628,0.000334628,0.000334628
17,3177.2,0.95924,0.66424,0.98584,0.56303,0.51952,0.5345,0.35975,1.19718,1.57219,1.12116,0.000325203,0.000325203,0.000325203
18,3326.73,0.95005,0.65113,0.98356,0.53992,0.49935,0.51264,0.34462,1.18548,1.63675,1.12015,0.000315778,0.000315778,0.000315778
19,3464.25,0.94678,0.64476,0.98154,0.55532,0.52563,0.54289,0.36697,1.16316,1.55014,1.10855,0.000306354,0.000306354,0.000306354
20,3621.45,0.93784,0.63534,0.9798,0.55983,0.51753,0.5311,0.35607,1.1787,1.56342,1.11862,0.000296929,0.000296929,0.000296929
21,3769.69,0.93355,0.62745,0.97858,0.55754,0.51487,0.53164,0.36032,1.17274,1.62287,1.11099,0.000287504,0.000287504,0.000287504
22,3914.62,0.92884,0.62064,0.97449,0.55668,0.5055,0.52861,0.35624,1.17737,1.57981,1.1151,0.000278079,0.000278079,0.000278079
23,4073.6,0.92133,0.61292,0.97496,0.55983,0.5059,0.52999,0.35857,1.17225,1.60287,1.11801,0.000268654,0.000268654,0.000268654
24,4238.93,0.91852,0.60552,0.97159,0.55264,0.51231,0.53374,0.35784,1.19896,1.59023,1.12384,0.00025923,0.00025923,0.00025923
25,4382.71,0.91486,0.60001,0.96956,0.57594,0.53346,0.55144,0.37422,1.17342,1.5198,1.11624,0.000249805,0.000249805,0.000249805
26,4531.36,0.90803,0.59352,0.967,0.54509,0.52474,0.52812,0.35814,1.17519,1.58364,1.11249,0.00024038,0.00024038,0.00024038
27,4678.36,0.9039,0.58802,0.96665,0.55978,0.52259,0.53887,0.36564,1.17233,1.55876,1.11083,0.000230955,0.000230955,0.000230955
28,4831.05,0.89722,0.58438,0.9646,0.56257,0.53722,0.54158,0.36494,1.18395,1.53908,1.12028,0.00022153,0.00022153,0.00022153
29,4970.83,0.89438,0.57812,0.96244,0.57424,0.52782,0.5459,0.36999,1.16516,1.53759,1.11046,0.000212106,0.000212106,0.000212106
30,5133.53,0.89347,0.57518,0.96186,0.55837,0.52559,0.5359,0.36339,1.16822,1.58065,1.11175,0.000202681,0.000202681,0.000202681
31,5261.74,0.88694,0.5681,0.9606,0.54938,0.52811,0.53162,0.35971,1.18174,1.5775,1.11891,0.000193256,0.000193256,0.000193256
32,5419.75,0.88224,0.56454,0.95902,0.54811,0.53057,0.54035,0.36624,1.16979,1.56337,1.10908,0.000183831,0.000183831,0.000183831
33,5564.36,0.8778,0.56078,0.95708,0.5649,0.52704,0.54886,0.37166,1.17545,1.53514,1.11363,0.000174406,0.000174406,0.000174406
34,5687.65,0.87557,0.55436,0.95539,0.55123,0.53369,0.53892,0.36436,1.16928,1.55998,1.11283,0.000164982,0.000164982,0.000164982
35,5843.2,0.86912,0.551,0.95311,0.56908,0.52471,0.53968,0.36297,1.18022,1.58008,1.12029,0.000155557,0.000155557,0.000155557
