epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,155.057,1.62644,2.89006,1.28356,0.39409,0.44263,0.40193,0.25434,1.32336,1.88023,1.19546,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955
2,320.613,1.3524,1.72513,1.16767,0.64498,0.57881,0.65872,0.43047,1.22889,1.43176,1.14675,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096
3,459.643,1.29941,1.40338,1.1444,0.77181,0.68312,0.79133,0.52349,1.163,1.12597,1.12467,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,607.38,1.25277,1.21741,1.1287,0.83688,0.7485,0.85167,0.5766,1.11223,0.9701,1.09828,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,742.672,1.18398,1.05079,1.09911,0.87686,0.79231,0.89574,0.6252,1.04793,0.83623,1.07037,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,886.474,1.13878,0.94516,1.07832,0.88187,0.80517,0.90056,0.62796,1.05348,0.8059,1.06897,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1029.18,1.1097,0.8767,1.06386,0.9041,0.8333,0.92347,0.65748,1.01021,0.72877,1.04934,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1170.57,1.08474,0.82842,1.055,0.91345,0.85353,0.9366,0.67122,0.99029,0.68777,1.03715,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1313.33,1.06473,0.79399,1.04639,0.91875,0.8621,0.94067,0.68046,0.97686,0.66294,1.02998,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1456.92,1.04672,0.76372,1.03772,0.92761,0.87142,0.94779,0.68945,0.96456,0.63536,1.0236,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1603.38,1.03077,0.73887,1.03089,0.92902,0.87903,0.9523,0.69534,0.95576,0.61867,1.01836,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1750.3,1.02062,0.71963,1.02682,0.93615,0.8852,0.95616,0.70578,0.93183,0.60094,1.00695,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1896.89,1.00977,0.70261,1.01902,0.93443,0.88725,0.95737,0.7073,0.92871,0.59119,1.00752,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2040.02,0.9987,0.68935,1.01288,0.93701,0.89453,0.96088,0.7092,0.9303,0.5771,1.00428,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2186.5,0.98591,0.67198,1.00849,0.94156,0.89527,0.96344,0.71378,0.91717,0.56599,0.99977,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2334.83,0.97995,0.66238,1.00547,0.9439,0.90331,0.96617,0.72108,0.91245,0.55684,0.99718,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2481.25,0.97194,0.65215,1.00242,0.94336,0.90654,0.96722,0.72276,0.90313,0.5455,0.99267,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2625.34,0.96418,0.64115,0.99738,0.94734,0.911,0.97053,0.72997,0.88991,0.53068,0.98525,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2773.41,0.95668,0.63207,0.99586,0.94979,0.91628,0.97253,0.73341,0.88193,0.51797,0.98021,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2922.87,0.95428,0.62675,0.99106,0.94885,0.91547,0.97272,0.73603,0.87885,0.51727,0.98071,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3069.97,0.94411,0.61508,0.98677,0.94798,0.91892,0.97389,0.73657,0.8793,0.51109,0.98098,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3216.27,0.94041,0.6098,0.98681,0.95444,0.91956,0.9747,0.73843,0.87486,0.50781,0.97655,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3361.11,0.93499,0.60107,0.98365,0.94813,0.92292,0.97467,0.73924,0.87328,0.5015,0.97679,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3508.06,0.92895,0.59466,0.98112,0.95214,0.92069,0.97541,0.73864,0.87779,0.50071,0.97766,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,3654.77,0.92423,0.5906,0.97814,0.95384,0.92325,0.97672,0.74327,0.86462,0.49227,0.97071,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,3802.03,0.91831,0.58296,0.97709,0.95693,0.92677,0.97749,0.746,0.86032,0.48616,0.96927,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,3947.07,0.91361,0.57611,0.97429,0.95453,0.92926,0.97824,0.75062,0.84648,0.47805,0.96353,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4090.32,0.9099,0.5718,0.97231,0.9576,0.9287,0.97837,0.74868,0.85505,0.47951,0.96702,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4235.44,0.90369,0.56697,0.97017,0.9554,0.9336,0.97941,0.75347,0.84357,0.47255,0.9616,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,4378.48,0.90001,0.56196,0.96826,0.9591,0.93279,0.98025,0.756,0.83767,0.46707,0.95982,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,4522.56,0.89596,0.55728,0.96559,0.95776,0.93526,0.98054,0.75691,0.8349,0.4645,0.95752,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,4665.23,0.89045,0.55342,0.96543,0.95651,0.93583,0.98053,0.75781,0.83276,0.46348,0.95637,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,4807.72,0.88777,0.54754,0.96144,0.95983,0.9354,0.98105,0.75794,0.8346,0.46038,0.95647,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,4953.99,0.88302,0.5424,0.96057,0.96099,0.93874,0.98215,0.76176,0.82726,0.45398,0.95313,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5097.02,0.87615,0.53625,0.95959,0.95823,0.93937,0.98161,0.76029,0.83082,0.45445,0.9542,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5243.34,0.87501,0.53517,0.95576,0.96157,0.93933,0.9821,0.76229,0.82685,0.45083,0.9517,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,5391.83,0.8703,0.53033,0.95583,0.96098,0.93969,0.98213,0.76289,0.82423,0.44899,0.95117,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,5539.05,0.86738,0.52671,0.95425,0.95928,0.9417,0.98242,0.76515,0.81965,0.44701,0.94961,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,5686.83,0.86126,0.52271,0.95233,0.96066,0.94101,0.9826,0.76512,0.82043,0.4463,0.94898,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,5831.6,0.8581,0.51877,0.95043,0.96154,0.94136,0.98283,0.76682,0.81508,0.44241,0.94707,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,5972.75,0.80834,0.44472,0.94232,0.96282,0.94024,0.98287,0.76752,0.81258,0.43933,0.94626,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6109.48,0.80025,0.43695,0.93973,0.96279,0.94121,0.98288,0.76981,0.80521,0.43589,0.94354,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
